,KW-Name,Brutto­leistungin MWel,Wärmeaus­kopplungin MWth,Energie­träger,Standort,Bun­des­land,Inbetrieb­nahme/Ertüchtigung,(geplante)Still­legung,Bemerkungen,Betreiber,Koordinaten
135,"Kraftwerk Heyden[115]
","923
","0
","Steinkohle
","Petershagen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1951
Block 2: 1960
Block 3: 1961
Block 4: 1987

","0!Block 1: 1979Block 2: 1982Block 3: 1982Block 4: ?
","Block 1: ca. 120 MW (Netto)Block 2: ca. 100 MW (Netto)Block 3: ca. 100 MW (Netto)
Block 4: 875 MW (Netto)

","Uniper Kraftwerke GmbH
","!552.3816085508.998667552° 22′ 53,8″ N, 008° 59′ 55,2″ O52.3816083333338.9986666666667
"
136,"Heizkraftwerk Bochum-Hiltrop[116]
","ca. 45
","? (ca. 150 MWh Wärmespeicher)
","Erdgas
","Bochum-Hiltrop
","Nordrhein-Westfalen Nordrhein-Westfalen
","GT: 1975
GuD: 2013

","0!GT: 2013
","GT: 31 MW (Netto)
GuD: 44 MW (Netto)

","Stadtwerke Bochum Holding GmbH
","!551.5072225507.249722551° 30′ 26,0″ N, 007° 14′ 59,0″ O51.5072222222227.2497222222222
"
137,"Heizkraftwerk Industriepark Höchst[3]
","268 (davon 71 Steinkohle und 197 Erdgas)
","614
","Steinkohle: Block BErdgas: Block A, ADS-Anlage
","Frankfurt am Main
","Hessen Hessen
","Block A: 2003
Block B: 1989
ADS-Anlage: 2011/2012

","0!
","Block A (GT): 86 MW (Netto)
Block B: 66 MW (Netto)
ADS-Anlage (2 GT): 97 MW (Netto)
Abwärme der Gasturbinen wird zur Dampferzeugung für die Dampfturbine des Blocks B genutzt

","Infraserv GmbH & Co. Höchst KG
","!550.0922225508.533333550° 05′ 32,0″ N, 008° 32′ 00,0″ O50.0922222222228.5333333333333
"
138,"Kraftwerk Duisburg-Huckingen[117]
","640
","68
","ErdgasGichtgas
Hochofengas

","Duisburg-Huckingen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block A: 1975/2009
Block B: 1976/2011

","0!
","Block A: 303 MW (Netto)
Block B: 303 MW (Netto)
Eigenstrom- und Dampfversorgung für das örtliche Stahlwerk

","Hüttenwerke Krupp-Mannesmann GmbH
","!551.3761395506.723861551° 22′ 34,1″ N, 006° 43′ 25,9″ O51.3761388888896.7238611111111
"
139,"Kraftwerk Huntorf[8]
","321
","0
","Erdgas
","Elsfleth
","Niedersachsen Niedersachsen
","1978/2006
","0!
","321 MW (Netto), Druckluftspeicher, Erdgas nur zur Kompensation der Expansionskälte
","Uniper Kraftwerke GmbH
","
"
140,"Kraftwerk Ibbenbüren[118]
","838
","20
","Steinkohle
Tiermehl
Klärschlamm

","Ibbenbüren
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block A: 1967
Block B: 1985/2009

","0!
Block A: 1987
Block B: ?

","Block A: ca. 130 MW (Netto)
Block B: 794 MW (Netto)
größter Schmelzkammerkessel der Welt

","RWE Generation SE
","!552.2858645507.745897552° 17′ 09,1″ N, 007° 44′ 45,2″ O52.2858638888897.7458972222222
"
141,"Kraftwerk Ingolstadt[119]
","840
","0
","Schweröl
","Großmehring
","Bayern Bayern
","Block 1: 1965
Block 2: 1965
Block 3: 1973
Block 4: 1974

","2019!Block 1: 1990
Block 2: 1990
Block 3: 2015 (Netzreserve)
Block 4: 2015 (Netzreserve)

","Block 1: 150 MW (Netto)
Block 2: 150 MW (Netto)
Block 3: 386 MW (Netto)
Block 4: 386 MW (Netto) 

","Uniper Kraftwerke GmbH
","!548.7620085511.503258548° 45′ 43,2″ N, 011° 30′ 11,7″ O48.76200833333311.503258333333
"
142,"Industriekraftwerk Ingolstadt[3]
","ca. 25
","?
","Erdgas, Raffineriegas
","Kösching
","Bayern Bayern
","2012
","
","23 MW (Netto)
Eigenstrom- und Dampfversorung der Erdölraffinerie Ingolstadt

","Gunvor Raffinerie Ingolstadt GmbH
","
"
143,"Kraftwerk Irsching[120]
","1894 (davon 440 Heizöl und 1454 Erdgas)
","25
","Schweröl: Block 1, Block 2
Heizöl: Block 3Erdgas: Block 4, Block 5

","Vohburg
","Bayern Bayern
","Block 1: 1969
Block 2: 1972
Block 3: 1974
Block 4 (""Ulrich Hartmann""): 2011
Block 5 (""Gemein-schaftskraftwerk Irsching""): 2010

","0!
Block 1: 2006
Block 2: 2012Block 3: 2012 (Netzreserve)Block 4: 2013 (Netzreserve)Block 5: 2013 (Netzreserve)

","Block 1: ca. 150 MW (Netto)
Block 2: ca. 300 MW (Netto)
Block 3: 415 MW (Netto)
Block 4: 561 MW (Netto)
Block 5: 846 MW (Netto)
(Block 6: 300 MW Gasturbine als ""besonderes netztechnisches Betriebsmittel"" mit Inbetriebnahme für 2022 geplant[121])

","Uniper Kraftwerke GmbH
","!548.7670335511.579219548° 46′ 01,3″ N, 011° 34′ 45,2″ O48.76703333333311.579219444444
"
144,"Kraftwerk Itzehoe[8]
","87
","0
","Mineralölprodukte
","Oldendorf
","Schleswig-Holstein Schleswig-Holstein
","1972
","
","87 MW (Netto)
","Uniper Kraftwerke GmbH
","
"
145,"Kraftwerk Jänschwalde[122]
","3000
","349 (458 möglich)
","Braunkohle
","Teichland-Neuendorf
","Brandenburg Brandenburg
","Block A: 1981/1996
Block B: 1982/1996
Block C: 1984/1996
Block D: 1985/1996
Block E: 1987/1996
Block F: 1989/1996

","2019!Block A: 2025 (Sicherheitsbereitschaft)[39]
Block B: 2027 (Sicherheitsbereitschaft)[39]
Block C: 2028 spätestens[39] 
Block D: 2028 spätestens[39] 
Block E: 2018
Block F: 2019

","Block A: 465 MW (Netto)
Block B: 465 MW (Netto)
Block C: 465 MW (Netto)
Block D: 465 MW (Netto)
Block E: 465 MW (Netto)
Block F: 465 MW (Netto)
Platz 4 – mit ~24,2 Mio. Jahrestonnen CO2 – auf der Liste der Kraftwerke mit dem höchsten CO2-Ausstoß in der EU.[2]

","LEAG
","!551.8322425514.453025551° 49′ 56,1″ N, 014° 27′ 10,9″ O51.83224166666714.453025
"
146,"Heizkraftwerk Jena[123]
","204
","225 (ca. 400 MWh Wärmespeicher,
600 MWh Wärmespeicher im Bau)

","Erdgas
Heizöl

","Jena
","Thüringen Thüringen
","HKW: 1969/1996
(GM: 2022[124])

","0!
","182 MW (Netto)
(Erweiterung um Gasmotorenkraftwerk mit 60 MWel und 60 MWth im Bau[125])

","TEAG Thüringer Energie AG
","!550.8976475511.586806550° 53′ 51,5″ N, 011° 35′ 12,5″ O50.89764722222211.586805555556
"
147,"Industriekraftwerk Jülich[3]
","ca. 25
","120
","Braunkohle
","Jülich
","Nordrhein-Westfalen Nordrhein-Westfalen
","2013
","0!
","23 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Pfeifer & Langen GmbH & Co. KG
","50° 54'  53.8"" N, 006° 22' 19.9"" O
"
148,"Heizkraftwerk Kaiserslautern-Karcherstraße[3]
","ca. 28 (davon 15 Steinkohle und 13 Erdgas)
","81 (ca. 90 MWh Wärmespeicher)
","Erdgas: Block 10
Steinkohle: Block 20

","Kaiserslautern
","Rheinland-Pfalz Rheinland-Pfalz
","Block 10: 1989
Block 20: 1996

","(Block 20: 2022[126])
","Block 10: 12 MW (Netto)
Block 20: 13 MW (Netto)
Steinkohleblock wird durch GuDs ersetzt[126]

","Stadtwerke Kaiserslautern Versorgungs AG (SWK)
","
"
149,"Industriekraftwerk Karlsruhe[3]
","ca. 75
","> 90
","Erdgas, Mineralölprodukte
","Karlsruhe
","Baden-Württemberg Baden-Württemberg
","Werk 1: 1995
Werk 2: 1995

","
","Werk 1: 45 MW (Netto)
Werk 2: 25 MW (Netto)
Eigenstrom- und Dampfversorung der MiRO-Raffinerie

","MiRO Mineralölraffinerie Oberrhein GmbH & Co. KG
","
"
150,"Heizkraftwerk Karlsruhe-West[127]
","37
","350 (davon 108 aus KWK)
","Erdgas
Heizöl

","Karlsruhe-Mühlburg
","Baden-Württemberg Baden-Württemberg
","Block T3: 1984
","0!
","Block T3: 33 MW (Netto)
","Stadtwerke Karlsruhe GmbH
","!549.0141615508.347656549° 00′ 51,0″ N, 008° 20′ 51,6″ O49.0141611111118.3476555555556
"
151,"Rheinhafen-Dampfkraftwerk Karlsruhe[128]
","2175 (davon 713 Erdgas und 1462 Steinkohle)
","440
","Steinkohle: Blöcke 1, 2, 3, 4, 7, 8
Erdgas: Blöcke 4S, 5, 6

","Karlsruhe
","Baden-Württemberg Baden-Württemberg
","Block 1: 1955
Block 2: nach 1955
Block 3: nach 1955
Block 4: nach 1955
Block 4S: 1998
Block 5: nach 1955
Block 6: nach 1955
Block 7: 1985/2005
Block 8: 2014

","0!
Block 1: 1985
Block 2: 1985
Block 3: 1985
Block 4: 1985
Block 4S: untersagt bis 1 Jahr nach Beginn der Engpassbewirtschaftung Deutschland/Österreich (1. Oktober 2018)[6], längstens bis 31. März 2020[1]Block 5: 1993 (Kaltreserve)Block 6: 1993 (Kaltreserve)
Block 7: ?Block 8: ?

","Block 1: ? MW (Netto)
Block 2: ? MW (Netto)
Block 3: ? MW (Netto)
Block 4: ? MW (Netto) 
Block 4S: 353 MW (Netto)
Block 5: ca. 160 MW (Netto)
Block 6: ca. 160 MW (Netto)
Block 7: 517 MW (Netto)
Block 8: 834 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!549.0114535508.303961549° 00′ 41,2″ N, 008° 18′ 14,3″ O49.0114527777788.3039611111111
"
152,"Kraftwerk Kassel[129]
","91 (davon 38 Braunkohle und 53 Erdgas)
","155 (davon 135 aus KWK)
","FKK: Braunkohle, Steinkohle EBS (Petrolkoks und EBS biogenen Ursprungs)
Kombi-HKW: Erdgas

","Kassel
","Hessen Hessen
","FKK: 1989
Kombi-HKW:
GuD 1: 1988
GuD 2: 2005

","0!FKK: 2030[130]



","FKK: 34 MW (Netto)
Kombi-HKW
GuD 1: 14 MW (Netto)
GuD 2: 36 MW (Netto)

","Städtische Werke Energie + Wärme GmbH
","!551.2791115509.484000551° 16′ 44,8″ N, 009° 29′ 02,4″ O51.2791111111119.484
"
153,"Küstenkraftwerk K.I.E.L.[131]
","200!200
","192!192 (1500 MWh Wärmespeicher)
","Erdgas
","Kiel
","Schleswig-Holstein Schleswig-Holstein
","2019
","0!
","190 MW (Netto), Gasmotorenkraftwerk,
Ersatz für das ehemalige Gemeinschaftskraftwerk Kiel mit 354 MWel (Brutto) und 295 MWth[132]

","Stadtwerke Kiel AG
","!554.3412505510.178028554° 20′ 28,5″ N, 010° 10′ 40,9″ O54.3412510.178027777778
"
154,"Heizkraftwerk Kiel-Humboldstraße[133]
","ca. 25
","140
","Erdgas
","Kiel
","Schleswig-Holstein Schleswig-Holstein
","2005
","
","22 MW (Netto)
","Stadtwerke Kiel AG
","
"
155,"Kraftwerk Kirchlengern[3]
","185
","0
","Erdgas
Heizöl

","Kirchlengern
","Nordrhein-Westfalen Nordrhein-Westfalen
","1981
","0!
","147 MW (Netto)
","Energieservice Westfalen Weser GmbH
","!552.1962225508.647444552° 11′ 46,4″ N, 008° 38′ 50,8″ O52.1962222222228.6474444444444
"
156,"Kraftwerk Kirchmöser[134]
","207
","0
","Erdgas
","Brandenburg an der Havel
","Brandenburg Brandenburg
","1994
","0!
","160 MW (Netto), nur  Bahnstromerzeugung
","Uniper Kraftwerke GmbH
","!552.3945975512.418047552° 23′ 40,5″ N, 012° 25′ 05,0″ O52.39459722222212.418047222222
"
157,"Kraftwerk Klein Wanzleben[3]
","ca. 25
","0
","Erdgas und Biogas
","Klein Wanzleben
","Sachsen-Anhalt Sachsen-Anhalt
","1994
","
","23 MW (Netto)
Eigenstromversorgung der örtlichen Zuckerfabrik

","Nordzucker AG, Werk Klein Wanzleben
","
"
158,"Raffineriekraftwerk Köln-Godorf[3]
","215
","235
","Erdgas
Mineralölprodukte Raffineriegas
Schweröl

","Köln
","Nordrhein-Westfalen Nordrhein-Westfalen
","1988/2004
","0!(bis 2021 Umstellung der Schwerölkessel auf Erdgas[135])
","114 MW (Netto)
Eigenstrom- und Dampfversorgung der Rheinland Raffinerie

","Shell Deutschland Oil GmbH
","
"
159,"Industriekraftwerk INEOS-Köln O10[3]
","107
","?
","HeizölCracköl
Produktions­rückstände

","Köln-Worringen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block T21: 1964
Block T22: 1964
Block T23: 1963
Block T24: 1966
Block T31: 1967
(Kessel 7: 2020)

","2020!
(Block T31: 2020[136])

","Block T21: 16 MW (Netto)
Block T22: 19 MW (Netto)
Block T23: 16 MW (Netto)
Block T24: 10 MW (Netto)
Block T31: 34 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks
(Kessel 7: GuD-Anlage mit 63 MWel im Bau, Inbetriebnahme war 2019 geplant[137])

","INEOS Manufacturing Deutschland GmbH
","
"
160,"Heizkraftwerk Köln-Merheim[138]
","33
","30
","Erdgas
","Köln-Merheim
","Nordrhein-Westfalen Nordrhein-Westfalen
","GuD: 2001
BHKW: 2020

","GuD: 2020
BHKW: 2020

","GuD: 16 MW (Netto)
BHKW: 33 MW (Netto)

","RheinEnergie AG
","
"
161,"Heizkraftwerk Köln-Merkenich[3]
","213 (davon ca. 83 Braunkohle und ca. 130 Erdgas)
","248
","Schweröl: Blöcke 1, 2, 3, 4 (bis 1989), 5 (bis 1989)
Braunkohle: Block 6
Erdgas: Blöcke 4 (seit 1989), 5 (seit 1989), GuD

","Köln-Merkenich
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1959
Block 2: 1962
Block 3: 1965
Block 4: 1964/89
Block 5: 1969/89
GuD: 2004
Block 6: 2010

","0!Block 1: 1986
Block 2: 1986
Block 3: 1986
Block 4: ?
Block 5: 2004
GuD: ?
(Block 6: 2025[139])

","Block 1: ca. 5 MW (Netto)
Block 2: ca. 20 MW (Netto)
Block 3: ca. 55 MW (Netto)
Block 4: 16 MW (Netto)
Block 5: ca. 95 MW (Netto)
GuD: 108 MW (Netto)
Block 6: 75 MW (Netto)

","RheinEnergie AG
","!551.0180645506.964483551° 01′ 05,0″ N, 006° 57′ 52,1″ O51.0180638888896.9644833333333
"
162,"Heizkraftwerk Köln-Niehl[140]
","881
","635
(750 MWh Wärmespeicher)

","Erdgas
","Köln-Niehl
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1977
Block 2: 2005
Block 3: 2016

","Block 1: 2008


","Block 1: ca. 300 MW (Netto)
Block 2: 413 (400) MW (Netto)
Block 3: 460 (450) MW (Netto)
je nach Quelle unterschiedliche Leistungsangaben

","RheinEnergie AG
","
"
163,"Heizkraftwerk Könnern[3]
","29
","150
","Braunkohle
","Könnern
","Sachsen-Anhalt Sachsen-Anhalt
","1993/2014
","0!
","20 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Pfeifer & Langen GmbH & Co. KG
","51° 40'  34.2"" N, 011° 46' 06.7"" O
"
164,"Industriekraftwerk Krefeld-Uerdingen[3]
","ca. 145
","460
","Steinkohle
ErdgasProduktions­rückstände

","Krefeld
","Nordrhein-Westfalen Nordrhein-Westfalen
","L 57: 1957
N 230: 1971

","0!
","L 57: 26 MW (Netto)
N 230: 110 MW (Netto)
Eigenstrom- und Dampfversorgung für den Chempark Krefeld-Uerdingen
GuD-Kraftwerk mit max. 1200 MWel geplant[141]

","Currenta GmbH & Co. OHG
","
"
165,"Industriekraftwerk Kriebstein[142]
","14
","ca. 35
","Erdgas

Heizöl

","Kriebstein
","Sachsen Sachsen
","1993
","
","13 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Kübler & Niethammer Papierfabrik Kriebstein AG
","
"
166,"Kraftwerk Robert Frank[143](Kraftwerk Landesbergen)
","532 (davon 510 Erdgas und 22 Biomasse)
","30
","Erdgas: GT und DT
Biomasse: Block 5

","Landesbergen
","Niedersachsen Niedersachsen
","GT: 1973
DT: 1973
Block 5: 2003

","0!GT: ?
DT: 2013[73] (Kaltreserve)

","GT: 56 MW (Netto)
DT: 431 MW (Netto)
Block 5: 20 MW (Netto)

","Statkraft Markets GmbH
","!552.5467225509.113028552° 32′ 48,2″ N, 009° 06′ 46,9″ O52.5467222222229.1130277777778
"
167,"KWK-Anlage Landshut[3]
","ca. 20
","?
","Erdgas
","Landshut
","Bayern Bayern
","2019
","
","18 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen PKW-Fabrik

","BMW AG
","
"
168,"Kraftwerk Lausward[144]
","853
","555 (1340 MWh Wärmespeicher)
","Erdgas
","Düsseldorf-Hafen
","Nordrhein-Westfalen Nordrhein-Westfalen
","GuD A: 2000
DT E: 1977
GT E1: 1974
GT E2: 1974
GuD F: 2016

","0!DT E: 2019


","GuD A: 100 MW (Netto)
DT E: 293 MW (Netto)
GT E1: 67 MW (Netto)
GT E2: 65 MW (Netto)
GuD F: 595 MW (Netto)
(davon insgesamt 50 MW Bahnstrom)

","Stadtwerke Düsseldorf AG
","!551.2208425506.731572551° 13′ 15,0″ N, 006° 43′ 53,7″ O51.2208416666676.7315722222222
"
169,"Dieselkraftwerk Leinau[145]
","12
","0
","Heizöl
","Pforzen
","Bayern Bayern
","1978
","
","11 MW (Netto)
","Vereinigte Wertach-Elektrizitätswerke GmbH
","
"
170,"Heizkraftwerk Leipzig-Nord[146]
","174
","200
(225 MWh Wärmespeicher)

","Erdgas

Heizöl

","Leipzig
","Sachsen Sachsen
","1996/2010
","0!
","167 MW (Netto)
(Gasturbinenanlage mit 120 MWel in Dölnitz (HKW Süd) in Planung[147])

","Stadtwerke Leipzig
","
"
171,"Industriekraftwerk Leppersdorf[148]
","36
","ca. 60
","Erdgas
Klärgas

","Leppersdorf
","Sachsen Sachsen
","2014
","
","34 MW (Netto)
Eigenstrom- und Dampfversorgung für Milchverarbeitungsbetrieb

","Unternehmensgruppe Theo Müller
","
"
172,"GuD-Kraftwerk Leuna[3]
","ca. 200
","?
","Erdgas
","Leuna
","Sachsen-Anhalt Sachsen-Anhalt
","GT 1: 1994
GT 2: 1994
GT 3: 1994
DT 1: 1994
GuD: 1998
EKT: 2000
KT1: 2010

","0!
","GT 1: 35 MW (Netto)
GT 2: 35 MW (Netto)
GT 3: 37 MW (Netto)
DT 1: 9 MW (Netto)
GuD: 39 MW (Netto)
EKT: 14 MW (Netto)
KT1: 20 MW (Netto)

","GT2: TOTAL Raffinerie Mitteldeutschland GmbH
Rest: InfraLeuna Energiegesellschaft mbH

","
"
173,"Raffineriekraftwerk Leuna[149]
","162
","208
","EBS (Raffinerie­rückstände)
","Leuna
","Sachsen-Anhalt Sachsen-Anhalt
","1997
","0!
","93 MW (Netto)
Eigenstrom- und Dampfversorgung des örtlichen Chemieparks

","Steag GmbH
","!551.2981085512.019506551° 17′ 53,2″ N, 012° 01′ 10,2″ O51.29810833333312.019505555556
"
174,"Industriekraftwerk Leverkusen[3]
","137 (davon ca. 27 Erdgas und ca. 110 Steinkohle)
","711
","Steinkohle: Block G 22
Erdgas: Block X 50

","Leverkusen
","Nordrhein-Westfalen Nordrhein-Westfalen
","G 22: 1962
X 50: 1981

","0!
","G 22: 103 MW (Netto)
X 50: 25 MW (Netto)
Eigenstrom- und Dampfversorgung für den Chempark Leverkusen
(GuD-Kraftwerk mit 570 MWel von der Steag GmbH geplant[150])

","Currenta GmbH & Co. OHG
","
"
175,"Raffineriekraftwerk Lingen[3]
","68
","?
","ErdgasRaffineriegas
","Lingen
","Niedersachsen Niedersachsen
","1996
","0!
","66 MW (Netto)
Eigenstrom- und Dampfversorgung der Raffinerie Emsland

","BP Europe SE
","!552.5620365507.302636552° 33′ 43,3″ N, 007° 18′ 09,5″ O52.5620361111117.3026361111111
"
176,"Erdgaskraftwerk Emsland[151]
","1864
","124
","Erdgas
","Lingen
","Niedersachsen Niedersachsen
","Block A: 1972
GT B: 1973/2012
GT C: 1974/2012
GT D: 2010
DT B: 1973
DT C: 1974
DT D: 2010

","0!
Block A: 1985





","Block A: 50 MW (Netto)
GT B: 116 MW (Netto)
GT C: 116 MW (Netto)
GT D: 562 MW (Netto)
DT B: 359 MW (Netto)
DT C: 359 MW (Netto)
DT D: 314 MW (Netto)
(jeweils 2 Gasturbinen pro Block B, C, D)

","RWE Generation SE
","!552.4808145507.305586552° 28′ 50,9″ N, 007° 18′ 20,1″ O52.4808138888897.3055861111111
"
177,"Kraftwerk Lippendorf[152]
","1840
","330
(460 möglich)

","Braunkohle
Biomasse (Klärschlamm)

","Neukieritzsch
","Sachsen Sachsen
","Block R: 1999
Block S: 2000

","0!
Block R: 2035 spätestens[39]
Block S: 2035 spätestens[39]

","Block R: 875 MW (Netto)
Block S: 875 MW (Netto)

Platz 8 – mit ~11,9 Mio. Jahrestonnen CO2 – auf der Liste der Kraftwerke mit dem höchsten CO2-Ausstoß in der EU.[2]

","Block R: EnBW
Block S: LEAG

","!551.1767695512.376372551° 10′ 36,4″ N, 012° 22′ 34,9″ O51.17676944444412.376372222222
"
178,"Heizkraftwerk Lübbenau[153]
","4
","45 (davon 4 aus KWK)
","Erdgas
","Lübbenau
","Brandenburg Brandenburg
","alte BHKWs: 2003
neues BHKW: 2018

","
","4 MW (Netto)
","Stadt- und Überlandwerke GmbH Luckau-Lübbenau
","
"
179,"Trianel Kohlekraftwerk Lünen (Kraftwerk Lünen-Stummhafen)[154]
","820
","35
","Steinkohle
","Lünen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 2013
","0!Block 1: ?
","Block 1: 735 MW (Netto)
","Trianel Kohlekraftwerk Lünen  GmbH & Co. KG
","
"
180,"Kraftwerke BASF-Ludwigshafen[155][156]
","1033
","1240
","Erdgas
Reste aus der Chemieproduktion

","Ludwigshafen am Rhein
","Rheinland-Pfalz Rheinland-Pfalz
","Nord: 1964/2005
Mitte: 1992/2005
Süd: 1997

","0!
","Nord: 123 (88) MW (Netto)
Mitte: 491 (545) MW (Netto)
Süd: 390 (410) MW (Netto)
je nach Quelle unterschiedliche Leistungsangaben; Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark;
anfänglich in den 70er Jahren als Kernkraftwerk geplant

","BASF SE
","!549.5130645508.431611549° 30′ 47,0″ N, 008° 25′ 53,8″ O49.5130638888898.4316111111111
"
181,"Fernheizkraftwerk Lundwigshafen[157]
","33
","?
","Erdgas, Heizöl, Abfall
","Ludwigshafen am Rhein
","Rheinland-Pfalz Rheinland-Pfalz
","1967
","
","28 MW (Netto)
nutzt Dampf von benachbarter Müllverbrennungsanlage

","Technische Werke Ludwigshafen AG
","
"
182,"Industriekraftwerk und Blockheizkraftwerk Ludwigshafen[158]
","ca. 26
","?
","Erdgas
","Ludwigshafen am Rhein
","Rheinland-Pfalz Rheinland-Pfalz
","Industriekraftwerk: 2003
BHKW: 2008

","
","Industriekraftwerk: 12 MW (Netto)
BHKW: 13 MW (Netto)
Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark

","MVV Energie AG
","
"
183,"Kraftwerke Mainz-Wiesbaden[159]
","767
","160 (750 MWh Wärmespeicher)
","Erdgas (laufende Blöcke)
Steinkohle (stillgelegte Blöcke)

","Mainz
","Rheinland-Pfalz Rheinland-Pfalz
","Block 1-1: 1958
Block 1-2: 1963
Block 1-3: 1966
Block 2-1: 1976
Block 3-1: 2000
(KW 5: 2019)

","Block 1-1: 2000
Block 1-2: 2000
Block 1-3: 2000
Block 2-1: 2011 (Netzreserve)


","Block 1-1: ca. 100 MW (Netto)
Block 1-2: ca. 100 MW (Netto)
Block 1-3: ca. 100 MW (Netto)
Block 2-1: 335 MW (Netto)
Block 3-1: 406 MW (Netto)
nutzt auch Dampf von benachbarter Müllverbrennungsanlage[160]
(KW 5: Gasmotorenkraftwerk mit 100 MWel und 100 MWth im Bau[161])

","Kraftwerke Mainz-Wiesbaden AG (KMW)
","50° 1' 35.544""  N, 008° 14' 30.163"" O
"
184,"Großkraftwerk Mannheim (GKM)[162]
","2146
","1500 (1500 MWh Wärmespeicher)
","Steinkohle
","Mannheim
","Baden-Württemberg Baden-Württemberg
","Block 1: 1954
Block 2: 1962
Block 3: 1966
Block 4: 1970 
Block 5: 1973 
Block 6: 1975/2005
Block 7: 1982
Block 8: 1993
Block 9: 2015

","0!Block 1: 1993
Block 2: 1993
Block 3: 2015
Block 4: 2015
Block 5: 2000
Block 6: ?
Block 7: ?
Block 8: ?
Block 9: ?

","Block 1: ca. 200 MW (Netto)
Block 2: ca. 200 MW (Netto)
Block 3: 203 MW (Netto)
Block 4: 203 MW (Netto) 
Block 5: 203 MW (Netto)
Block 6: 255 MW (Netto)
Block 7: 425 MW (Netto)
Block 8: 435 MW (Netto)
Block 9: 843 MW (Netto)
(davon insgesamt 310 MW Bahnstrom)

","Großkraftwerk Mannheim AG
(EnBW Energie Baden-Württemberg AG,  MVV Energie AG)

","!549.4444445508.498056549° 26′ 40,0″ N, 008° 29′ 53,0″ O49.4444444444448.4980555555556
"
185,"Kraftwerk Marbach[111]
","437
","0
","Öl (Heizöl)
","Marbach am Neckar
","Baden-Württemberg Baden-Württemberg
","Block 1: 1940
GT II: 1971
GT III: 1975
DT III: 1975

","Block 1: 19852019!
GT II: untersagt bis 1 Jahr nach Beginn der Engpassbewirtschaftung Deutschland/Österreich (1. Oktober 2018)[6], längstens bis 31. März 2020[1]
GT III: wie GT II
DT III: wie GT II, war von 1998 bis 2005 in Kaltreserve

","GT II: 77 MW (Netto)
GT III: 85 MW (Netto)
DT III: 264 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!548.9274695509.230072548° 55′ 38,9″ N, 009° 13′ 48,3″ O48.9274694444449.2300722222222
"
186,"Kraftwerk Meggle[3]
","ca. 15
","?
","Erdgas
","Reitmehring
","Bayern Bayern
","2000
","
","15 MW (Netto)
Eigenstrom- und Dampfversorgung für Molkerei

","Molkerei Meggle Wasserburg GmbH & Co. KG
","
"
187,"Kraftwerk Mehrum[163]
","750
","0
","Steinkohle
Klärschlamm

","Hohenhameln
","Niedersachsen Niedersachsen
","Block 3: 1979/2003
","2020!(Block 3: 2021?[164])
","Block 3: 690 MW (Netto)
","KWM-GmbH
(EPH)

","!552.3150445510.093792552° 18′ 54,2″ N, 010° 05′ 37,7″ O52.31504444444410.093791666667
"
188,"Dieselkraftwerk Mindelheim[145]
","11
","0
","Heizöl
","Mindelheim
","Bayern Bayern
","1988
","
","11 MW (Netto)
","Vereinigte Wertach-Elektrizitätswerke GmbH
","
"
189,"Industriekraftwerk Moritzburg[3]
","ca. 70
","?
","Erdgas
","Moritzburg
","Sachsen Sachsen
","Block 1: 1998
Block 2: 2005

","
","Block 1: 34 MW (Netto)
Block 2: 34 MW (Netto)
Eigenstrom- und Dampfversorgung für Globalfoundries-Fabrik

","Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG
","
"
190,"Energiezentrale des Flughafen München[3]
","ca. 40
","> 22
","Energiezentrale: Erdgas, Heizöl
Erweiterung 1: Erdgas
Erweiterung 2: Erdgas

","München
","Bayern Bayern
","Energiezentrale: 1992
Erweiterung 1: 2003
Erweiterung 2: 2016

","
","Energiezentrale: 10 MW (Netto)
Erweiterung 1: 7 MW (Netto)
Erweiterung 2: 17 MW (Netto)

","Flughafen München GmbH / Terminal 2 Gesellschaft mbH & Co oHG
","
"
